STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
157.01.01.RMT.DL-KRM	REMETTA DELUX ÇELİK ÇAYDANLIK	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.DL-LİLA	REMETTA DELUX ÇELİK ÇAYDANLIK	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.DL-MOR	REMETTA DELUX ÇELİK ÇAYDANLIK	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.DL-SYH	REMETTA DELIZIA DELUX ÇELİK ÇAYDANLIK	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.KM-SYH	REMETTA ÇELİK ÇAYDANLIK KÜRE	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.LL-SYH	REMETTA ÇELİK ÇAYDANLIK (ASIRET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.RMT.L-SYH	REMETTA ÇELİK ÇAYDANLIK (AILE)	Ticari mal	150.01.01.06.015	Çelik Çaydanlık	150.01.01.06.015	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-GLD	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-KREM	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-KRM	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-MOR	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-PMB	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-PSYH	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-SYH	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.BLG.RM-KRM	BİLGE RÜYA ÇELİK ÇAYDANLIK	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.CASA.K02	CASASI KÜRE ÇAYDANLIK (ORTA)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.FMS.C01	FMS ÇAYDANLIK (ORTA)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.FMS.T02	FMS ÇAYDANLIK TİRYAKİ (ORTA)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.FMS.T03	FMS ÇAYDANLIK TİRYAKİ (AİLE)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR		
157.01.01.KURE-CLK	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET) - ÇELİK KULP	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-EŞKR	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
157.01.01.KURE-FYSL	ÇELİK ÇAYDANLIK KÜRE (22-33 PCS SET)	Ticari mal	157.01.01.01.001	Çelik Çaydanlık	157.01.01.01.001	Çelik Çaydanlık	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
153.YYB 81206	GASTRO PMG MIKNATISLI BIÇAKLIK 53 CM SİYAH	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600.01.04.20.090	Diğer Ticari Mal	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
15327.CSEM-BRT-CAM	BARİTON SEMAVER CAM 3300 GW	Ticari mal	153.01.04.01.027	Çelik Çay Semaver	153.01.04.01.027	Çelik Çay Semaver	600.01.04.01.027	Çelik Semaver	601.01.04.01.027	TANIMSIZ	610.01.04.01.027	Çelik Semaver
15327.CSEM-BRT-INOX	BARİTON SEMAVER INOX 3300 GB	Ticari mal	153.01.04.01.027	Çelik Çay Semaver	153.01.04.01.027	Çelik Çay Semaver	600.01.04.01.027	Çelik Semaver	601.01.04.01.027	TANIMSIZ	610.01.04.01.027	Çelik Semaver
157.01.01.AWX.B01	AWOX MİNİ ÇAYDANLIK (BAKALİT KULP)	Ticari mal	153.01.04.01.015	Çelik Çaydanlık	153.01.04.01.015	Çelik Çaydanlık	600.01.04.01.015	Çelik Çaydanlık	601.01.#DMK#.01.015	TANIMSIZ	610.01.#DMK#.01.015	TANIMSIZ
153.YORK-BSK.60-DEF	DEFOLU Ø 60 x 14 CM HELVANE BASIK TENCERE	Ticari mal	153.01.04.01.002	Çelik Tek Tencere	153.01.04.01.002	Çelik Tek Tencere	600.01.04.01.002	Çelik Tek Tencere	601.01.04.01.002	Çelik Tek Tencere	610.01.04.01.002	Çelik Tek Tencere
153.YORK-BSK.70-DEF	DEFOLU Ø 70 x 15 CM HELVANE BASIK TENCERE	Ticari mal	153.01.04.01.002	Çelik Tek Tencere	153.01.04.01.002	Çelik Tek Tencere	600.01.04.01.002	Çelik Tek Tencere	601.01.04.01.002	Çelik Tek Tencere	610.01.04.01.002	Çelik Tek Tencere
153.YORK-BSK.80-DEF	DEFOLU Ø 80 x 16 CM HELVANE BASIK TENCERE	Ticari mal	153.01.04.01.002	Çelik Tek Tencere	153.01.04.01.002	Çelik Tek Tencere	600.01.04.01.002	Çelik Tek Tencere	601.01.04.01.002	Çelik Tek Tencere	610.01.04.01.002	Çelik Tek Tencere
153.YORK-SCG.80-DEF	DEFOLU Ø 80 x 16 CM HELVANE SÜZGEÇ	Ticari mal	153	TİCARİ MALLAR	153	TİCARİ MALLAR	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
153.YTKM-OUT-YGN	OUTLET YEGANE 24 PCS PORSELEN YEMEK TK. KRİSTAL	Ticari mal	153.01.04.06.001	Porselen Yemek Takımı	153.01.04.06.001	Porselen Yemek Takımı	600.01.04.06.001	Porselen Yemek Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.06.001	Porselen Yemek Takımı
153.YTKM-OUT-YGN2	OUTLET YEGANE 18 PCS PORSELEN YEMEK TK. KRİSTAL	Ticari mal	153.01.04.06.001	Porselen Yemek Takımı	153.01.04.06.001	Porselen Yemek Takımı	600.01.04.06.001	Porselen Yemek Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.06.001	Porselen Yemek Takımı
153.YYB 38160 SIYAH	ECCO ŞEF BIÇAĞI 19 CM SİYAH	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600.01.04.20.090	Diğer Ticari Mal	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
153.UZM.SADE.14	SİTİL/BAKRAÇ/HELKE NO 14 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.16	SİTİL/BAKRAÇ/HELKE NO 16 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.17	SİTİL/BAKRAÇ/HELKE NO 17 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.18	SİTİL/BAKRAÇ/HELKE NO 18 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.19	SİTİL/BAKRAÇ/HELKE NO 19 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.9	SİTİL/BAKRAÇ/HELKE NO 09 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.YORK-BSK.50-DEF	DEFOLU Ø 50 x 12 CM HELVANE BASIK TENCERE	Ticari mal	153.01.04.01.002	Çelik Tek Tencere	153.01.04.01.002	Çelik Tek Tencere	600.01.04.01.002	Çelik Tek Tencere	601.01.04.01.002	Çelik Tek Tencere	610.01.04.01.002	Çelik Tek Tencere
153.UZM.GOLD.14	SİTİL/BAKRAÇ/HELKE NO 14 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.16	SİTİL/BAKRAÇ/HELKE NO 16 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.17	SİTİL/BAKRAÇ/HELKE NO 17 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.18	SİTİL/BAKRAÇ/HELKE NO 18 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.19	SİTİL/BAKRAÇ/HELKE NO 19 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.11	SİTİL/BAKRAÇ/HELKE NO 11 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.12	SİTİL/BAKRAÇ/HELKE NO 12 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.SADE.13	SİTİL/BAKRAÇ/HELKE NO 13 METAL KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.TZG.ENF-002	ENFA KELEPÇELİ KEK KALIBI 3'LÜ	Mamül	153.01.04.05.051	Kek Kalıbı	153.01.04.05.051	Kek Kalıbı	600.01.04.05.051	Granit Kek Kalıbı	601.01.04.05.051	Granit Kek Kalıbı	610.01.04.05.051	Granit Kek Kalıbı
153.TZG.TG-0078	EMAYE 26 CM KEK KALIBI	Mamül	153.01.04.05.051	Kek Kalıbı	153.01.04.05.051	Kek Kalıbı	600.01.04.05.051	Granit Kek Kalıbı	601.01.04.05.051	Granit Kek Kalıbı	610.01.04.05.051	Granit Kek Kalıbı
153.TZG.TG-0094	EMAYE TART KALIBI 0,4 MM	Mamül	153.01.04.05.051	Kek Kalıbı	153.01.04.05.051	Kek Kalıbı	600.01.04.05.051	Granit Kek Kalıbı	601.01.04.05.051	Granit Kek Kalıbı	610.01.04.05.051	Granit Kek Kalıbı
153.UZM.GOLD.09	SİTİL/BAKRAÇ/HELKE NO 09 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.11	SİTİL/BAKRAÇ/HELKE NO 11 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.12	SİTİL/BAKRAÇ/HELKE NO 12 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.UZM.GOLD.13	SİTİL/BAKRAÇ/HELKE NO 13 GOLD KULP	Ticari mal	153.01.04.20.032	Satır	153.01.04.20.032	Satır	600.01.04.20.032	Satır	601	YURT DIŞI SATIŞLAR	610.01.04.20.032	Satır
153.TOPCHEF.3280.RED	TOPCHEF MUFFIN & CUPCAKE KEK KALIBI 26 CM	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TOPCHEF.3288.GOLD	DÖKÜM TOPCHEF 25 CM DİLİMLİ KEK KALIBI	Mamül	152.01.01.05.003	Granit Mantı Seti	152.01.01.05.003	Granit Mantı Seti	600.01.01.05.003	Granit Mantı Seti	601.01.01.05.003	Granit Mantı Seti	610.01.01.05.003	Granit Mantı Seti
153.TOPCHEF.3288.RED	DÖKÜM TOPCHEF 25 CM DİLİMLİ KEK KALIBI	Mamül	152.01.01.05.003	Granit Mantı Seti	152.01.01.05.003	Granit Mantı Seti	600.01.01.05.003	Granit Mantı Seti	601.01.01.05.003	Granit Mantı Seti	610.01.01.05.003	Granit Mantı Seti
153.TOPCHEF.3288.ROSEPINK	DÖKÜM TOPCHEF 25 CM DİLİMLİ KEK KALIBI(ROSE PİNK)	Mamül	152.01.01.05.003	Granit Mantı Seti	152.01.01.05.003	Granit Mantı Seti	600.01.01.05.003	Granit Mantı Seti	601.01.01.05.003	Granit Mantı Seti	610.01.01.05.003	Granit Mantı Seti
153.TRK 0420	HAVAN ULPOLEN ORTA	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600.01.04.20.090	Diğer Ticari Mal	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
153.TRK 30502 BEYAZ	PLS.KESİM TAHTASI 30*50*2 CM	Ticari mal	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	153.01.04.20.090	Diğer Ticari Mal Ev Gereçleri	600.01.04.20.090	Diğer Ticari Mal	601	YURT DIŞI SATIŞLAR	610.01.04.20.090	Diğer Ticari Mallar
153.TOPCHEF.3249.GREY	BATON GRANİT KEK KALIBI GRİ. TOPCHEF	Mamül	153.01.04.05.051	Kek Kalıbı	153.01.04.05.051	Kek Kalıbı	600.01.04.05.051	Granit Kek Kalıbı	601.01.04.05.051	Granit Kek Kalıbı	610.01.04.05.051	Granit Kek Kalıbı
153.TOPCHEF.3277.COPPER	DÖKÜM TOPCHEF 26CM PAPATYA KEK KALIB(SİYAH-BAKIR GEÇİŞ)	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TOPCHEF.3277.GOLD	DÖKÜM TOPCHEF 26CM PAPATYA KEK KALIB	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TOPCHEF.3277.RED	DÖKÜM TOPCHEF 26CM PAPATYA KEK KALIB	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TOPCHEF.3280.COPPER	TOPCHEF MUFFIN & CUPCAKE KEK KALIBI 26 CM	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TOPCHEF.3280.GOLD	TOPCHEF MUFFIN & CUPCAKE KEK KALIBI 26 CM (SİYAH-GOLD GEÇİŞLİ).	Mamül	152.01.01.07.019	Döküm Kek Kalıbı	152.01.01.07.019	Döküm Kek Kalıbı	600.01.01.07.019	Döküm Kek Kalıbı	601.01.01.07.019	Döküm Kek Kalıbı	610.01.01.07.019	Döküm Kek Kalıbı
153.TKST.ASY-HVL3	ÖZDİLEK EMİLY HAVLU 50*90 CM	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.ASY-HVL4	ÖZDİLEK COTTON BLISS RENKLI 4*LU KUTULU HAVLU	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.ASY-HVL5	ÖZDİLEK PLAID MODERNA / BEYAZ 4LÜ KUTULU HAVLU	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.ASY-HVL6	ÖZDİLEK BRIGHT RENKLİ 4*LU KUTULU HAVLU 	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.61YTO000029	MAXSTYLE JAKARLI YATAK ÖRTÜSÜ SOHO TAŞ ARY	Ticari mal	153.01.04.10.003	Yatak Örtüsü	153.01.04.10.003	Yatak Örtüsü	600.01.04.10.003	Yatak Örtüsü	601.01.#SMS#.10.003	TANIMSIZ	610.01.#SMS#.10.003	TANIMSIZ
153.TKST.66TPS004083	SAINT LOUIS AKASYA NAK.RANFORCE NEV.SETİ ÇK ARY	Ticari mal	153.01.04.10.001	Nevresim Takımı	153.01.04.10.001	Nevresim Takımı	600.01.04.10.001	Nevresim Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.90.001	Nevresim
153.TKST.66TPS004086	DAMAKS (JAKARLI) STONEWASHED NEVRESİM SETİÇ.K. ASÖ ARY	Ticari mal	153.01.04.10.001	Nevresim Takımı	153.01.04.10.001	Nevresim Takımı	600.01.04.10.001	Nevresim Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.90.001	Nevresim
153.TKST.61NVR000368	MAXSTYLE JAKARLI NEVRESIM TKM. ORNAMENT KREM ÇİFT ARY	Ticari mal	153.01.04.10.001	Nevresim Takımı	153.01.04.10.001	Nevresim Takımı	600.01.04.10.001	Nevresim Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.90.001	Nevresim
153.TKST.61NVR000481	MAXSTYLE HELEN ÇİFT KİŞİLİK PİKE TAKIMI HAKİ ARY	Ticari mal	153.01.04.10.002	Pike Takımı	153.01.04.10.002	Pike Takımı	600.01.04.10.002	Pike Takımı	601.01.#SMS#.10.002	TANIMSIZ	610.01.#SMS#.10.002	TANIMSIZ
153.TKST.61PKE000053	HERMES WAFFLE PİKE TEK KİŞİLİK ARY	Ticari mal	153.01.04.10.002	Pike Takımı	153.01.04.10.002	Pike Takımı	600.01.04.10.002	Pike Takımı	601.01.#SMS#.10.002	TANIMSIZ	610.01.#SMS#.10.002	TANIMSIZ
153.TKST.61PKE000065	MAXSTYLE HELEN ÇİFT KİŞİLİK PİKE TAKIMI BEJ ARY	Ticari mal	153.01.04.10.002	Pike Takımı	153.01.04.10.002	Pike Takımı	600.01.04.10.002	Pike Takımı	601.01.#SMS#.10.002	TANIMSIZ	610.01.#SMS#.10.002	TANIMSIZ
153.TKST.61YRG000023	MAXSTYLE COTTON PAMUK YORGAN CK 195X215CM ARY	Ticari mal	153.01.04.10.012	Yastık Ve Kırlent	153.01.04.10.012	Yastık Ve Kırlent	600.01.04.10.012	Sentetik Bayan Yeleği	601	YURT DIŞI SATIŞLAR	610.01.04.10.012	Yorgan ve Uyku Seti
153.TKST.61YTO000026	MAXSTYLE JAKARLI YATAK ÖRTÜSÜ GİZA ANTRASİT ARY	Ticari mal	153.01.04.10.003	Yatak Örtüsü	153.01.04.10.003	Yatak Örtüsü	600.01.04.10.003	Yatak Örtüsü	601.01.#SMS#.10.003	TANIMSIZ	610.01.#SMS#.10.003	TANIMSIZ
153.TKST.57MTH010091	PAMUK MUTFAK HAVLUSU 40X60 2'Lİ ANANAS ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.60YRG014919	DAMASK YORGAN TEK 155*215 VM 300 GR ARY	Ticari mal	153.01.04.10.012	Yastık Ve Kırlent	153.01.04.10.012	Yastık Ve Kırlent	600.01.04.10.012	Sentetik Bayan Yeleği	601	YURT DIŞI SATIŞLAR	610.01.04.10.012	Yorgan ve Uyku Seti
153.TKST.60YST014914	BAMBOOTOUCH YASTIK 50X70 ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.61HVL008152	HERMES WAFFLE HAVLU 50X90 CM LACİVERT ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.61HVL008262	ŞAL DESEN MUTFAK HAVLUSU 30X50 3'LÜ KREM- TAŞ -KAH ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
153.TKST.61NVR000093	MAXSTYLE JAKARLI NEVRESIM TKM.KATYA PUDRA ÇK.ARY	Ticari mal	153.01.04.10.001	Nevresim Takımı	153.01.04.10.001	Nevresim Takımı	600.01.04.10.001	Nevresim Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.90.001	Nevresim
153.TKST.61NVR000207	BAMBU ÇİZGİLİ NEVRESİM ÇİFT HAKİ ARY	Ticari mal	153.01.04.10.001	Nevresim Takımı	153.01.04.10.001	Nevresim Takımı	600.01.04.10.001	Nevresim Takımı	601	YURT DIŞI SATIŞLAR	610.01.04.90.001	Nevresim
153.TGO.5301-ŞİLİ	TOGO ŞİLİ 12 PARÇA PORSELEN FİNCAN TAKIMI	Ticari mal	153.01.04.06.016	Porselen Kahve Takımı	153.01.04.06.016	Porselen Kahve Takımı	600.01.04.06.016	Porselen Kahve Takımı	601.01.04.06.004	Porselen Fincan	610.01.04.06.016	Porselen Fincan
153.TKST.57MTH006577	PONPONLU MUTFAK HAVLUSU 30*50 2 Lİ KREM ARY	Ticari mal	153.01.04.10.014	Havlu ve Bornozlar	153.01.04.10.014	Havlu ve Bornozlar	600.01.04.10.014	Havlu ve Bornozlar	601	YURT DIŞI SATIŞLAR	610.01.04.10.014	Havlu ve Bornozlar
