CİNSİ	STOK İSMİ	STOK KODU
Mamül	GRANİT Ø 30 CM KÜRE TAVA.KOYU GRİ (PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.30.ANTRACI
Mamül	GRANİT Ø 30 CM KÜRE TAVA.SIYAH (PYREX KAPAK-ÇELİK SAP)	152.TCHEF.3206.30.BLACK
Mamül	GRANİT Ø 30 CM KÜRE TAVA.KIZIL KAHVE.(PYREX KAPAK-GOLD ÇELİK SAP)	152.TCHEF.3206.30.G.BROWN
Mamül	GRANİT Ø26 CM KÜRE KARNIYARIK. SIYAH.(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.26.BLACK
Mamül	GRANİT Ø26 CM KÜRE KARNIYARIK.KIZIL KAHVE(PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3342.26.G.BROWN
Mamül	GRANİT Ø26 CM KÜRE KARNIYARIK. FILDISI.(PYREX CAM KPK-SADE ÇELİK SAP)	152.TCHEF.3342.26.IVORY
Mamül	GRANİT Ø26 CM KÜRE KARNIYARIK.KOYU GRİ(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.26.K.GREY
Mamül	GRANİT Ø28 CM KÜRE KARNIYARIK.KOYU GRİ(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.28.ANTRACI
Mamül	GRANİT Ø28 CM KÜRE KARNIYARIK. SIYAH.(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.28.BLACK
Mamül	GRANİT Ø28 CM KÜRE KARNIYARIK.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3342.28.G.KHV
Mamül	GRANİT Ø30 CM KÜRE KARNIYARIK. SIYAH.(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.30.BLACK
Mamül	GRANİT Ø30 CM KÜRE KARNIYARIK.KIZIL KAHVE (PYREX CAM KPK-GOLD ÇELİK SAP)	152.TCHEF.3342.30.G.BROWN
Mamül	GRANİT Ø30 CM KÜRE KARNIYARIK.KOYU GRİ(PYREX CAM KPK-ÇELİK SAP)	152.TCHEF.3342.30.K.GREY
Mamül	Ø 10 x 5 CM MİNİ TEK KULP SOS TENCERE	152.TEK.10X5.SILVER
Mamül	GRANİT Ø 20 x 10 CM DERİN TENCERE (CAM KPK)	152.TEMFERA.3110.20.BEJ
Mamül	GRANİT Ø 20 x 10 CM DERİN TENCERE (CAM KPK)	152.TEMFERA.3110.20.GRI
Mamül	GRANİT Ø 24 x 12 CM DERİN TENCERE (CAM KPK)	152.TEMFERA.3110.24.BEJ
Mamül	GRANİT Ø 24 x 12 CM DERİN TENCERE (CAM KPK)	152.TEMFERA.3110.24.GRI
Mamül	GRANİT Ø 26 x 5,5 CM TAVA 	152.TEMFERA.3210.26.BEJ
Mamül	GRANİT Ø 26 x 5,5 CM TAVA 	152.TEMFERA.3210.26.GRI
Mamül	GRANİT Ø 26 CM KARNIYARIK TENC (CAM KPK)	152.TEMFERA.3310.26.BEJ
Mamül	EASY COOKING - Ø 16 x 8 MİNİ DERİN TENCERE	152.EASY.2008.16X8.SADE
Depolanan Yarı mamül	EASY COOKING - Ø20X3 ÇELİK SAHAN - SADE	152.EASY.2042.20.SILVER
Depolanan Yarı mamül	EASY COOKING - Ø24X4  ÇELİK SAHAN - SADE	152.EASY.2042.24.SILVER
Mamül	EASY COOKING - Ø 16 x 10 CM SÜTLÜK (DÖKME AĞIZLI)	152.EASY.4002.16.SILVER
Ticari mal	SERVİS, ÜÇ KATLI 550*860*900	153.EMP.2.SV.03
Ticari mal	SHAKER ÇELIK 750 ML (SH-75)	153.EX 3901000300
Ticari mal	ÇELİK ÇAYDANLIK FMS	153.F.FMS.8045.M-SYH
Ticari mal	EASY COOKING- ÇELİK CEZVE HUNİ (NO:6)	153.EASY.7037.6.SILVER
Ticari mal	EASY COOKING - ÇELİK CEZVE (NO:3)-7040	153.EASY.7040.3.SILVER
Ticari mal	EASY COOKER - 2 PCS 1 LİTRE ÇAYDANLIK  - SADE	153.EASY.8105.S.SILVER
Ticari mal	EASY COOKING - ÇELİK CEZVE (NO:4)-7040	153.EASY.7040.4.SILVER
Ticari mal	EASY COOKING - ÇELİK CEZVE (NO:5)-7040	153.EASY.7040.5.SILVER
Ticari mal	EASY COOKER - 2 PCS 2 LİTRE ÇAYDANLIK  - SADE	153.EASY.8105.L.SILVER
Ticari mal	EASY COOKER - 2 PCS 1,5 LİTRE ÇAYDANLIK  - SADE	153.EASY.8105.M.SILVER
Ticari mal	EASY COOKING - ÇELİK CEZVE (NO:6)-7040	153.EASY.7040.6.SILVER
Ticari mal	EASY COOKING - 2 PCS 0,70 LİTRE ÜSTTEN TUTMALI ÇAYDANLIK NO-1	153.EASY.8069.NO-1
Ticari mal	EASY COOKING - 2 PCS 1,2 LİTRE  ÜSTTEN TUTMALI ÇAYDANLIK NO-2	153.EASY.8069.NO-2
Ticari mal	EASY COOKING - 2 PCS 1,6 LİTRE  ÜSTTEN TUTMALI ÇAYDANLIK NO-3	153.EASY.8069.NO-3
Ticari mal	EASY COOKING - 2 PCS 2,25 LİTRE  ÜSTTEN TUTMALI ÇAYDANLIK NO-4	153.EASY.8069.NO-4
İlk madde ve malzeme	OFSET KUTU 8 PCS BERNARDO ÇELİK SET.(18-20-22 TNC-24 BASIK)	150.13.BRN.1101.08
İlk madde ve malzeme	OFSET KUTU - 8  PCS BERNARDO ÇELİK SİLİNDİR TENCERE SET.(1151)	150.13.BRN.1150.1151.08
İlk madde ve malzeme	OFSET KUTU BERNARDO 7 PCS GRANİT KÜRE SET.(20-22-24 TNC-24 TAVA)	150.13.BRN.2,8.07
Mamül	26CM DÖKÜM GRANİT TART KEK KALIBI .SİYAH-GÜMÜŞ GEÇİŞLİ	153.3296.SILVER
Mamül	DÖKÜM GRANİT YAPRAK  KEK KALIBI. KIZIL.KAHVE	153.3297.DARK.BROWN
Mamül	DÖKÜM GRANİT YAPRAK  KEK KALIBI. SAMANYOLU	153.3297.GALAXY
Ticari mal	61475696 Bitez 100 Banyol Dol	770.28
Mamül	KUMLAMA MAKİNASI	770.29
Mamül	GOODWAY CNC TORNA - MODEL: GV-780	770.30
