CİNSİ	STOK İSMİ	STOK KODU
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM NURTAŞ SİYAH KIRMIZI	150.04.DMTK-NRT.S.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM NURTAŞ SİYAH MOR	150.04.DMTK-NRT.S.MOR
İlk madde ve malzeme	EGE KILİPSOLU DÜDÜKLÜ KAPAK MATİK 22CM-PEMBE	150.04.DMTK-PEMBE
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-PEMBE(BERF)	150.04.DMTK-PEMBE.BERF
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-PEMBE	150.04.DMTK-PEMBE.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-PEMBE(REMETTA)	150.04.DMTK-PEMBE.RMT
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ BAZİK KRM	150.04.DMTK-S.B.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ GRİ	150.04.DMTK-S.GRİ
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ KAHVE	150.04.DMTK-S.KHV
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ SÜTLÜ KAHVE	150.04.DMTK-S.S.KHV
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM SOFTAÇ  BAZİK KIRMIZI	150.04.DMTK-S.SF.B.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ SCHAFER VİOLE	150.04.DMTK-S.SF.V
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SOFTAÇ GOLD	150.04.DMTK-SGLD
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22 CM-SİYAH	150.04.DMTK-SİYAH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SÜTLÜKAHVE	150.04.DMTK-SUTLU KAHV
Ticari mal	DÜDÜKLÜ KAPAK MATİK 22CM-SÜTLÜKAHVE	150.04.DMTK-SÜTLÜ KAHV
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-SİYAH NAAMAN GRİ DÜĞMELİ	150.04.DMTK-SYH.NMN
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22 CM-VİŞNE	150.04.DMTK-VİSNE
Ticari mal	DÜDÜKLÜ KAPAK MATİK 22 CM-VİŞNE	150.04.DMTK-VİŞNE
İlk madde ve malzeme	DÜDÜKLÜ KAPAK MATİK 22CM-YEŞİL	150.04.DMTK-YESİL
Ticari mal	DÜDÜKLÜ KAPAK MATİK 22CM-YEŞİL	150.04.DMTK-YEŞİL
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) EMSAN BURCU	150.04.K.EMS.BRC
Ticari mal	DÜDÜKLÜ KAPAK KLASİK (22 cm) EMSAN EFSANE	150.04.K.EMS.EFSN
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK KROM VENTİL (22 cm) KARACA	150.04.K.KRC
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK KROM VENTİL (22 cm) KARACA	150.04.K.KRC.SYH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK UZAY ( 22 cm) BİLGE  KIRMIZI	150.04.K022.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (20 cm)	150.04.K200
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (20 cm) Parlak	150.04.K201
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (20 cm) Aynalı	150.04.K203
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)SİYAH(BİERHOF)	150.04.K22.BİE.SYH
İlk madde ve malzeme	DÜDÜKLÜ KLS. KAPAK (22 cm)İNCİ KAHVE UZAY BANQUET	150.04.K22.BNQ.INC.KHV
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) S.KAHVE UZAY BANQUET	150.04.K22.BNQ.KHV
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) KIRMIZI UZAY BANQUET	150.04.K22.BNQ.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) LİLA	150.04.K22.GLK.LİLA
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Uzay(İNOXPRİME)	150.04.K22.İNX.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)KORKMAZ PEMBE.REMETTA	150.04.K22.K.P.RMT
İlk madde ve malzeme	DÜDÜKLÜ KAPAK OMS LOGOLU KLASİK KIRMIZI UZAY	150.04.K22.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)BİLGE	150.04.K22.KRM.BİLGE
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)BANQUET	150.04.K22.KRM.BNQ
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)FMS	150.04.K22.KRM.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) ELMA ŞEKERİ REMETTA	150.04.K22.KRM.RMT
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) KIRMIZI UZAY SCHAFER	150.04.K22.KRM.SCH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)GALAKSİ	150.04.K22.LİLA.GLK
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) METALİK MOR REMETTA	150.04.K22.M.M.RMT
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)BİLGE	150.04.K22.MOR.BİLGE
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)FMS	150.04.K22.MOR.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)FMS	150.04.K22.PEMBE.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) INTER	150.04.K22.PMB
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) PEMBE REMETTA	150.04.K22.PMB.RMT
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)AYBER	150.04.K22.SİY.AYBER
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)BANQUET	150.04.K22.SİYAH.BNQ
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)OMS.NEO	150.04.K22.SYH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)BİLGE	150.04.K22.SYH.BİLGE
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) SİYAH NAAMAN	150.04.K22.SYH.EMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)FMS	150.04.K22.SYH.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) SİYAH SCHAFER	150.04.K22.SYH.SCH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)SİYAH(VİCCO)	150.04.K22.VİC.SYH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Uzay(ZANETTİ)	150.04.K22.ZNT.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)	150.04.K220
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Parlak	150.04.K221
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Uzay	150.04.K222
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Uzay KIRMIZI	150.04.K222.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Aynalı	150.04.K223
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) Neo	150.04.K224
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)-SCHAFER  Neo	150.04.K224.SCH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)İNTER	150.04.K24.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)FMS	150.04.K24.KRM.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)LRC	150.04.K24.KRM.LRC
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)FMS	150.04.K24.PEMBE.FMS
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)BANQUET	150.04.K24.SİYAH.BNQ
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)	150.04.K240
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)- İNTER	150.04.K240-KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)-PMB İNTER	150.04.K240-PMB
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm)-SİYAH	150.04.K240-SYH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm) Parlak	150.04.K241
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm) Uzay	150.04.K242
İlk madde ve malzeme	EFSANE DÜDÜKLÜ KAPAK KLASİK (24 cm) Emsan	150.04.K243
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (24 cm) Neo	150.04.K244
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) KIRMIZI UZAY (BİLGE)	150.04.KBLG.22.KRM
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm) KINOX	150.04.KKNX
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)SİYAH UZAY NAAMAN	150.04.KNMN.22.SYH
İlk madde ve malzeme	DÜDÜKLÜ KAPAK KLASİK (22 cm)SİYAH UZAY PERFECTO	150.04.KPRF.22.SYH
İlk madde ve malzeme	OFSET KUTU 10 PCS GRANİT KÜRE TENCERE SET	150.05.01.G.TES-100
İlk madde ve malzeme	KANAT- 7841 KIRÇIL	150.05.7841
İlk madde ve malzeme	KANAT -  7849 KIRÇIL	150.05.7849
İlk madde ve malzeme	PPG-  8517 KIRMIZI ÜST KAT.	150.05.8517.TEF
İlk madde ve malzeme	KANAT - TEFLON SİYAH ÜST KAT - 9629 	150.05.9629
İlk madde ve malzeme	NSC W2104-0164 GREY ASTAR	150.05.AST.0164
İlk madde ve malzeme	NSC W2104-0167 ASTAR	150.05.AST.0167
İlk madde ve malzeme	NSC W3104-0397 (ASTAR)	150.05.AST.0397
İlk madde ve malzeme	NSC W3104-0399 (ORTA KAT)	150.05.AST.0399
İlk madde ve malzeme	NSC ASTAR- 0934	150.05.AST.0934
İlk madde ve malzeme	NSC W2104-0938 ASTAR	150.05.AST.0938
İlk madde ve malzeme	FLORKİM. EP100-101 ASTAR	150.05.AST.101
İlk madde ve malzeme	GİZEMFRİT PC2 110/2100 GRİ ASTAR	150.05.AST.110.2100
İlk madde ve malzeme	AKCOAT - SİYAH ASTAR. 110/1112	150.05.AST.110/1112
İlk madde ve malzeme	283-151 FLORON REGULAR PLUS BASE COAT BLACK-Astar	150.05.AST.151
İlk madde ve malzeme	285-162  FLORKİM GRİ ASTAR	150.05.AST.162
İlk madde ve malzeme	NSC W2311-1677 METALİK	150.05.AST.1677
İlk madde ve malzeme	284-192  FLORON REGULAR PLUS BASE -Astar	150.05.AST.192
İlk madde ve malzeme	PPG- QUANTANIUM 7141/V1965Z BASE COAT	150.05.AST.1965Z
İlk madde ve malzeme	NSC W2103-2274 KAPLAN ASTAR	150.05.AST.2274
İlk madde ve malzeme	NSC W2212-2417 VİOLET	150.05.AST.2417
İlk madde ve malzeme	PPG - QUANTANIUM 7131/V2466Z BLACK BASE COAT	150.05.AST.2466Z
İlk madde ve malzeme	NSC GRİ ASTAR- 2789	150.05.AST.2789
İlk madde ve malzeme	283-151 FLORKİM ASTAR	150.05.AST.283.151
İlk madde ve malzeme	201-290 FLORON REGULAR PLUS BASE COAT YELLOW	150.05.AST.290
İlk madde ve malzeme	NSC  ASTAR- 3700P	150.05.AST.3700P
İlk madde ve malzeme	NSC 2105-4262 ASTAR	150.05.AST.4262
İlk madde ve malzeme	NSC METALİK KAHVE ASTAR. 4315	150.05.AST.4315
İlk madde ve malzeme	PPG - WHİTFORD 4555 GRİ ASTAR	150.05.AST.4555
İlk madde ve malzeme	PPG - WHİTFORD 4556 GRİ ORTA KAT.	150.05.AST.4556
İlk madde ve malzeme	PPG - QUANTANIUM 7141/V4562Z GREY BASE COAT	150.05.AST.4562Z
İlk madde ve malzeme	NSC W2201-5221 (beyaz astar)	150.05.AST.5221
İlk madde ve malzeme	PFLUON-5978P (ASTAR)	150.05.AST.5978P
İlk madde ve malzeme	PFLUON-5979P (ASTAR) KREM	150.05.AST.5979P
İlk madde ve malzeme	PPG - WHİTFORD 5986 ASTAR	150.05.AST.5986
İlk madde ve malzeme	PFLUON-6003P DİSCOVER(ASTAR) GRİ	150.05.AST.6003P
İlk madde ve malzeme	PFLUON-6004P DİSCOVER(ASTAR) -KAHVE	150.05.AST.6004P
İlk madde ve malzeme	PFLUON-63049.P ASTAR	150.05.AST.63049.P
İlk madde ve malzeme	PPG -QUANTANIUM 7343/V6501Z BASE COAT	150.05.AST.6501Z
İlk madde ve malzeme	PFLUON W8636-7009P  ASTAR ( SİYAH )	150.05.AST.7009P
İlk madde ve malzeme	KANAT.ASTAR-7150	150.05.AST.7150
İlk madde ve malzeme	KANAT.ASTAR-7300017209	150.05.AST.7209
İlk madde ve malzeme	KANAT.7349.GRİ  ASTAR	150.05.AST.7349
İlk madde ve malzeme	PPG - WHİTFORD 7729 GRİ ASTAR	150.05.AST.7729
İlk madde ve malzeme	PFLUON-7921T  FİLDİŞİ - ÜST KAT	150.05.AST.7921T
İlk madde ve malzeme	NSC  ASTAR- 8322P	150.05.AST.8322P
İlk madde ve malzeme	PPG - WHİTFORD 9334 SİYAH ASTAR	150.05.AST.9334
İlk madde ve malzeme	PPG - WHİTFORD 9343 SİYAH ASTAR	150.05.AST.9343
İlk madde ve malzeme	NSC ASTAR- 9540P	150.05.AST.9540P
İlk madde ve malzeme	KANAT.ASTAR-9542	150.05.AST.9542
İlk madde ve malzeme	KANAT.9635.SİYAH ASTAR	150.05.AST.9635
İlk madde ve malzeme	KANAT.ASTAR-9675..KAHVE ASTARIDIR.	150.05.AST.9675
İlk madde ve malzeme	KANAT.9776 SİYAH ASTAR EXTREME	150.05.AST.9776
İlk madde ve malzeme	KANAT.ASTAR-9808	150.05.AST.9808
İlk madde ve malzeme	KANAT.ASTAR-9920	150.05.AST.9920
İlk madde ve malzeme	PPG - QUANTANIUM 7141/V5858 SİYAH ASTAR	150.05.AST.V5858
İlk madde ve malzeme	PPG - 70 - 300/V8626  ASTAR	150.05.AST.V8626
İlk madde ve malzeme	PFLUON SERAMİK BOYA - 8P107 - GRİ	150.05.CER.8P107
İlk madde ve malzeme	PFLUON SERAMİK BOYA - 8P111 - KIZIL TOPRAK	150.05.CER.8P111
İlk madde ve malzeme	PFLUON SERAMİK BOYA - C8445 -  8P681 -  YENİ SİYAH	150.05.CER.8P681
İlk madde ve malzeme	PFLUON SERAMİK BOYA -C8445 - 8P852 - KAVUNİÇİ AÇIK KREM.	150.05.CER.8P852
İlk madde ve malzeme	PFLUON SERAMİK BOYA - 9001 ŞEFFAF	150.05.CER.9001
İlk madde ve malzeme	PFLUON-1001T -ŞEFFAF- ÜST KAT SİLİKON	150.05.SLC.1001T
İlk madde ve malzeme	PFLUON-3097P -KIRMIZI- ÜST KAT SİLİKON	150.05.SLC.3097P
İlk madde ve malzeme	PFLUON-3258P -BORDO- ÜST KAT SİLİKON	150.05.SLC.3258P
İlk madde ve malzeme	PFLUON-5184T -SİYAH- ÜST KAT TEFLON	150.05.SLC.5184T
İlk madde ve malzeme	PFLUON-6071P -ELMA YEŞİLİ- ÜST KAT SİLİKON	150.05.SLC.6071P
İlk madde ve malzeme	PFLUON-8254P -SİYAH- ASTAR	150.05.SLC.8254P
İlk madde ve malzeme	KANAT.SİLİKON ELMA ŞEKERİ. 3521	150.05.SLK.3521
İlk madde ve malzeme	KANAT.SİLİKON . KOYU GRİ. 7482	150.05.SLK.7482
İlk madde ve malzeme	KANAT.SİLİKON SİYAH.9369	150.05.SLK.9369
İlk madde ve malzeme	KANAT.SİLİKON VERNİK.9936	150.05.SLK.9936
İlk madde ve malzeme	NSC 0074 BEYAZ NOKTA	150.05.TEF.0074
İlk madde ve malzeme	NSC 0177 SİYAH NOKTA	150.05.TEF.0177
İlk madde ve malzeme	NSC MR0213T KAPLAN VİOLET ÜST KAT	150.05.TEF.0213T
İlk madde ve malzeme	NSC SAFLON KAHVESİ.2208-0253	150.05.TEF.0253
İlk madde ve malzeme	NSC W3213-0389 (MET. SYH)	150.05.TEF.0389
İlk madde ve malzeme	KANAT BOYA METALİK - 0472	150.05.TEF.0472
İlk madde ve malzeme	KANAT BOYA 0474 ÜST KAT - SARI YALDIZ	150.05.TEF.0474
İlk madde ve malzeme	NSC W2205-0804 PEMBE ÜST KAT	150.05.TEF.0804
İlk madde ve malzeme	KANAT BOYA C24H750989 - YENİ GRİ	150.05.TEF.0989
İlk madde ve malzeme	PPG - WHİTFORD 10143 ÜST KAT SATEN BRONZ	150.05.TEF.10143
İlk madde ve malzeme	KANAT BOYA 1231 ÜST KAT(1231 IHLAMUR)	150.05.TEF.1231
İlk madde ve malzeme	GİZEMFRİT PC2 130/9001 AVCI YEŞİLİ ÜST KAT	150.05.TEF.130.9002
İlk madde ve malzeme	AKCOAT - KIRMIZI ÜST KAT - 130/5309	150.05.TEF.130/5309
İlk madde ve malzeme	AKCOAT - KIRMIZI ÜST KAT - 130/5314	150.05.TEF.130/5314
İlk madde ve malzeme	KANAT.KOYU ALTIN..1364	150.05.TEF.1364
İlk madde ve malzeme	NSC W2301-1477(ŞEFFAF)	150.05.TEF.1477
İlk madde ve malzeme	PPG - QUANTANIUM 7333/V1527Z LIGHT GREY TOPCOAT	150.05.TEF.1527Z
İlk madde ve malzeme	KANAT.GOLD.ÜST.1584	150.05.TEF.1584
İlk madde ve malzeme	NSC 1587 KAPLON GRANTSTONE ÜST KAT KIRMIZI	150.05.TEF.1587
İlk madde ve malzeme	NSC W2301-1588 KAPLON GRANTSTONE ÜST KAT ŞEFFAF	150.05.TEF.1588
İlk madde ve malzeme	KANAT.ROZGOLD.ÜST.7512011641	150.05.TEF.1641
İlk madde ve malzeme	KANAT BOYA 1765 ÜST KAT - KUM BEYAZI	150.05.TEF.1765
İlk madde ve malzeme	KANAT. KUMBEJİ .ÜST.1797	150.05.TEF.1797
İlk madde ve malzeme	KANAT ÜST KAT OMS KREM  1891	150.05.TEF.1891
İlk madde ve malzeme	KANAT BOYA 1901 ÜST KAT(AÇIK KREM)	150.05.TEF.1901
İlk madde ve malzeme	PFULON-2001-DİSCOVER (KIRÇIL)-BEYAZ	150.05.TEF.2001
İlk madde ve malzeme	PFULON-2002-DİSCOVER (KIRÇIL)-SİYAH	150.05.TEF.2002
İlk madde ve malzeme	FLORKİM-201-214. AÇIK KIZIL ÜST KAT	150.05.TEF.201.214
İlk madde ve malzeme	FLORKİM-201-235-YEŞİL TOP COAT	150.05.TEF.201.235
İlk madde ve malzeme	FLORKİM-201-264-KIZIL II	150.05.TEF.201.264
İlk madde ve malzeme	NSC W2103-2014  KAPLON CLASSIC 2+ ASTAR SİYAH	150.05.TEF.2014
İlk madde ve malzeme	FLORKİM.202-GRİ ÜST KAT	150.05.TEF.202
İlk madde ve malzeme	FLORKİM. F300 - 308 - PETROL MAVİSİ	150.05.TEF.222T
İlk madde ve malzeme	FLORKİM.201.227  ÜST KAT EFLATUN	150.05.TEF.227
İlk madde ve malzeme	FLORKİM.232-GÜMÜŞ NOKTA. 	150.05.TEF.232
İlk madde ve malzeme	FLORKİM.287-237-TURUNCU ÜST KAT	150.05.TEF.237
İlk madde ve malzeme	282-246 FLORON REGULAR PLUS TOP COAT KİT	150.05.TEF.246
İlk madde ve malzeme	FLORKİM.251-SİYAH ÜST KAT	150.05.TEF.251
İlk madde ve malzeme	286-261 FLORON REGULAR PLUS TOP CAOT BLACK	150.05.TEF.261
İlk madde ve malzeme	266 FLORON REGULAR ÜST KAT-KOYU BAKIR	150.05.TEF.266
İlk madde ve malzeme	NSC YEŞİL ÜST KAT-2805	150.05.TEF.2805
İlk madde ve malzeme	FLORKİM-282-267-VİOLET  TOP COAT	150.05.TEF.282.267
İlk madde ve malzeme	FLORKİM-282-288 SOMON 	150.05.TEF.282.288
İlk madde ve malzeme	FLORKİM. 282-293 SAKS MAVİ	150.05.TEF.282.293
İlk madde ve malzeme	FLORKİM 285-181  ASTAR	150.05.TEF.285.181
İlk madde ve malzeme	285-226 FLORKİM ÜST KAT SARI	150.05.TEF.285.226
İlk madde ve malzeme	FLORKİM.286-METALİK KAHVE ÜST KAT	150.05.TEF.286
İlk madde ve malzeme	S501290 FLORON REGULAR PLUS TOP COAT LAK	150.05.TEF.290
İlk madde ve malzeme	NSC W2219-3000E(AVANGART SARI)	150.05.TEF.3000E
İlk madde ve malzeme	NSC W2218-3001E(BAKIR)	150.05.TEF.3001E
İlk madde ve malzeme	PFLUON-3002- GOLD SPETTER	150.05.TEF.3002
İlk madde ve malzeme	NSC W2214-3002E(GÜMÜŞ)	150.05.TEF.3002E
İlk madde ve malzeme	NSC 2205-3161 PEMBE ÜST KAT	150.05.TEF.3161
İlk madde ve malzeme	329 FLORON REGULAR PLUS TOP COAT KİT	150.05.TEF.329
İlk madde ve malzeme	KANAT.KIRMIZI.3296	150.05.TEF.3296
İlk madde ve malzeme	KANAT.3357.PEMBE.SON KAT.	150.05.TEF.3357
İlk madde ve malzeme	PPG - WHİTFORD 3380 BEYAZ KIRÇIL	150.05.TEF.3380
İlk madde ve malzeme	KANAT.3561.KİREMİT.SON KAT.	150.05.TEF.3561
İlk madde ve malzeme	NSC 3712T ÜST KAT MOR	150.05.TEF.3712T
İlk madde ve malzeme	NSC ÜST KAT METALİK KAHVE 3723 	150.05.TEF.3723
İlk madde ve malzeme	KANAT.DAZLİNGRED. 3732	150.05.TEF.3732
İlk madde ve malzeme	KANAT.3785 METALİK KIRMIZI EXTREME	150.05.TEF.3785
İlk madde ve malzeme	PPG - WHİTFORD.3786 GRİ ÜST KAT.	150.05.TEF.3786
İlk madde ve malzeme	KANAT.KIZIL BORDO. 3812 ÜST KAT	150.05.TEF.3812
İlk madde ve malzeme	NSC W2301-3899(ŞEFFAF)	150.05.TEF.3899
İlk madde ve malzeme	KANAT.EFLATUN.ÜST KAT. 4378	150.05.TEF.4378
İlk madde ve malzeme	KANAT ÜST KAT MOR 4384.	150.05.TEF.4384
İlk madde ve malzeme	KANAT.METALİK BORDO.4458	150.05.TEF.4458
İlk madde ve malzeme	PPG - QUANTİUM 4537 GRİ ASTAR	150.05.TEF.4537
İlk madde ve malzeme	PPG - WHİTFORD 4560  SİYAH KIRÇIL	150.05.TEF.4560
İlk madde ve malzeme	PFLUON-5003P- KIRMIZI ASTAR	150.05.TEF.5003P
İlk madde ve malzeme	PFLUON-5003T- KIRMIZI SON KAT	150.05.TEF.5003T
İlk madde ve malzeme	PFULON-5184T ÜST KAT. 	150.05.TEF.5184T
İlk madde ve malzeme	KANAT BOYA 5262 ÜST KAT LACİVERT	150.05.TEF.5262
İlk madde ve malzeme	5330-T  FLORKİM VİRDİAN YEŞİL.ÜST KAT(255)	150.05.TEF.5330T
İlk madde ve malzeme	PFLUON-5462.T MOR ÜST KAT	150.05.TEF.5462T
İlk madde ve malzeme	PFULON-5828 ORTA KAT	150.05.TEF.5828M
İlk madde ve malzeme	PFULON-6003T-DİSCOVER (SON KAT)-GRİ	150.05.TEF.6003T
İlk madde ve malzeme	PFULON-6004T-DİSCOVER (SON KAT)-KAHVE	150.05.TEF.6004T
İlk madde ve malzeme	PPG -WHİTFORD 6177 TİTANYUM ÜST.	150.05.TEF.6177
İlk madde ve malzeme	PFLUON-63049.T KIRMIZI ÜST KAT	150.05.TEF.63049.T
İlk madde ve malzeme	KANAT. KOYU YEŞİL .ÜST.6324	150.05.TEF.6324
İlk madde ve malzeme	KANAT ÜST KAT YEŞİL..6342	150.05.TEF.6342
İlk madde ve malzeme	KANAT BOYA 6398 ÜST KAT - SU YEŞİLİ	150.05.TEF.6398
İlk madde ve malzeme	KANAT ÜST KAT MENTOL YEŞİL  6809	150.05.TEF.6809
İlk madde ve malzeme	PPG - WHİTFORD DIAMOND 6849 ASTAR	150.05.TEF.6849
İlk madde ve malzeme	PPG - WHİTFORD DIAMOND 6850 ORTA KAT	150.05.TEF.6850
İlk madde ve malzeme	PPG - WHİTFORD V7095 KOYU GRİ	150.05.TEF.7095
İlk madde ve malzeme	KANAT. 7317 GECE GRİSİ	150.05.TEF.7317
İlk madde ve malzeme	KANAT.AÇIK GRİ.7384	150.05.TEF.7384
İlk madde ve malzeme	KANAT.7432.ANTRASİT GRİ	150.05.TEF.7432
İlk madde ve malzeme	PFLUON-7490.T ANTRASİT GRİ	150.05.TEF.7490.T
İlk madde ve malzeme	PPG - ECLIPSE 73-753/V7710Z SILVER DIAMOND	150.05.TEF.753
İlk madde ve malzeme	PPG - WHİTFORD DIAMOND 7710 MATALİK	150.05.TEF.7710
İlk madde ve malzeme	PFULON W8636-7802T  SON KAT ( MELT SNOW MARBLE )	150.05.TEF.7802T
İlk madde ve malzeme	PFULON W8436-8012T  SON KAT ( BAKIR MARBLE  )	150.05.TEF.8012T
İlk madde ve malzeme	NSC W2205-8060 PEMBE	150.05.TEF.8060
İlk madde ve malzeme	NSC SAFLON KAHVESİ.2208-8084	150.05.TEF.8084
İlk madde ve malzeme	NSC W2201-8137 (beyaz üst kat)	150.05.TEF.8137
İlk madde ve malzeme	KANAT ÜST KAT KOYU KAHVE  8157	150.05.TEF.8157
İlk madde ve malzeme	KANAT.S.KAHVE.7512018240	150.05.TEF.8240
İlk madde ve malzeme	KANAT.S.KAHVE.8244	150.05.TEF.8244
İlk madde ve malzeme	KANAT BOYA 8297 ÜST KAT - BRONZ 	150.05.TEF.8297
İlk madde ve malzeme	KANAT.KAHVE NOKTA.8346	150.05.TEF.8346
İlk madde ve malzeme	PPG - WHİTFORD XYLAN 8509 ÜST KAT	150.05.TEF.8509
İlk madde ve malzeme	KANAT. BAKIR ÜST KAT.	150.05.TEF.8539
İlk madde ve malzeme	PPG - WHİTFORD 8547 GRİ	150.05.TEF.8547
İlk madde ve malzeme	KANAT.SATEN BRONZ.8590	150.05.TEF.8590
İlk madde ve malzeme	NSC AVANGARD SİYAH ÇİZGİ - 9007T	150.05.TEF.9007T
İlk madde ve malzeme	PFULON W89035-9051  NOKTACIK  ( AÇIK KAHVE )	150.05.TEF.9051
İlk madde ve malzeme	KANAT.METALİK.ÜST.9434	150.05.TEF.9434
İlk madde ve malzeme	KANAT.SİYAH NOKTA.9471	150.05.TEF.9471
İlk madde ve malzeme	KANAT BOYA 9506 METALİK YALDIZ	150.05.TEF.9506
İlk madde ve malzeme	KANAT.9507.METALİK SON KAT.	150.05.TEF.9507
İlk madde ve malzeme	KANAT.GRİ.ÜST.9562	150.05.TEF.9562
İlk madde ve malzeme	KANAT ÜST KAT 9617	150.05.TEF.9617
İlk madde ve malzeme	KANAT.9640.ORTA KAT.SİYAH	150.05.TEF.9640
